
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State
  TCP    127.0.0.1:58795        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58796        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58797        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58798        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58799        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58801        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58802        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58803        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58804        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58805        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58807        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58808        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58809        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58810        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58811        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58812        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58813        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58814        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58815        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58816        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58817        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58818        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58819        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58820        127.0.0.1:6880         TIME_WAIT       InHost      
  TCP    127.0.0.1:58821        127.0.0.1:4370         ESTABLISHED     InHost      
  TCP    127.0.0.1:58822        127.0.0.1:4381         ESTABLISHED     InHost      
